1 17561 1209 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 0.164678044
2 20949 662 1 0 1 1 0 0 1 0 0 0 1 1 1 1 0 1 0 1 0 1 0.146279107
3 26514 1991 1 1 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 0.142816922
4 20845 1115 1 1 0 0 1 1 1 0 0 0 1 1 1 1 0 1 1 0 0 1 0.151531643
5 19271 615 1 0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0.137943899
6 26525 1440 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 0 0.152386863
7 27210 2606 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.140015752
8 19650 1389 0 0 1 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 0.14371231
9 10363 249 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0.135497484
10 23370 2444 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0.140685164
11 19251 1372 1 0 1 1 1 1 1 0 0 0 1 1 0 1 1 0 1 1 0 1 0.1468088
12 19549 2331 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 0.138515712
13 10419 454 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0.270385412
14 16018 1156 1 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 1 1 1 0.272125706
15 30708 2562 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0.274759689
16 8752 186 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0.274497894
17 20560 1435 1 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 1 0 1 1 0.276094451
18 24589 2519 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0.271429166
19 24440 2160 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0.291389476
20 24417 1608 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.274437839
21 12128 350 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0.274853926
22 19371 1934 1 0 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 0.280953268
23 28320 1696 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0.279626889
24 22767 1465 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 0 1 0 1 0.260951417
25 22575 2162 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0.145035447
26 29168 2171 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0.13904718
27 28964 1833 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0.134217436
28 11722 255 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0.146329378
29 22563 1207 0 0 0 1 0 0 1 1 0 1 1 1 1 1 0 1 1 1 0 1 0.135614706
30 4627 184 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142175869
31 24095 2134 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0.133051135
32 22409 1466 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 1 1 0.145074323
33 24312 1350 1 1 1 1 1 0 0 1 0 1 0 1 1 0 1 1 1 1 1 1 0.144567428
34 25567 1615 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0.146291544
35 21271 917 0 0 1 1 1 1 1 1 1 0 1 1 0 0 0 1 0 1 1 1 0.149115796
36 18595 1221 0 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 0 0.142654575
37 25917 1925 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0.143425157
